user,number_of_rounds,average_click_duration,std_click_duration,response time,rate_of_true,true_answer_average_duration,true_answer_average_RT,false_answer_average_duration,false_answer_average_RT,0_rounds_since_mistake_average_response_time,0_rounds_since_mistake_average_duration,0_rounds_since_mistake_average_is_correct,1_rounds_since_mistake_average_response_time,1_rounds_since_mistake_GAP_RT,1_rounds_since_mistake_average_duration,1_rounds_since_mistake_average_is_correct,2_rounds_since_mistake_average_response_time,2_rounds_since_mistake_GAP_RT,2_rounds_since_mistake_average_duration,2_rounds_since_mistake_average_is_correct,3_rounds_since_mistake_average_response_time,3_rounds_since_mistake_GAP_RT,3_rounds_since_mistake_average_duration,3_rounds_since_mistake_average_is_correct,4_rounds_since_mistake_average_response_time,4_rounds_since_mistake_GAP_RT,4_rounds_since_mistake_average_duration,4_rounds_since_mistake_average_is_correct,5_rounds_since_mistake_average_response_time,5_rounds_since_mistake_GAP_RT,5_rounds_since_mistake_average_duration,5_rounds_since_mistake_average_is_correct,6_rounds_since_mistake_average_response_time,6_rounds_since_mistake_GAP_RT,6_rounds_since_mistake_average_duration,6_rounds_since_mistake_average_is_correct,7_rounds_since_mistake_average_response_time,7_rounds_since_mistake_GAP_RT,7_rounds_since_mistake_average_duration,7_rounds_since_mistake_average_is_correct,8_rounds_since_mistake_average_response_time,8_rounds_since_mistake_GAP_RT,8_rounds_since_mistake_average_duration,8_rounds_since_mistake_average_is_correct,9_rounds_since_mistake_average_response_time,9_rounds_since_mistake_GAP_RT,9_rounds_since_mistake_average_duration,9_rounds_since_mistake_average_is_correct,1_rounds_since_correct_average_response_time,1_rounds_since_correct_average_duration,1_rounds_since_correct_average_is_correct,is_mobile,gender,age,has_disorder,education
134,119,97.14285714285714,21.78060313957091,458.89915966386553,0.9243697478991597,98.86363636363636,464.7,76.11111111111111,388.0,354.0,33.0,False,540.8888888888889,186.8888888888889,86.11111111111111,0.8888888888888888,528.5,-12.388888888888914,79.0,0.875,452.0,-76.5,101.71428571428571,1.0,478.0,26.0,94.42857142857143,1.0,454.14285714285717,-23.857142857142833,106.42857142857143,1.0,465.42857142857144,11.285714285714278,99.57142857142857,1.0,448.2857142857143,-17.142857142857167,102.85714285714286,1.0,482.42857142857144,34.14285714285717,96.14285714285714,1.0,432.42857142857144,-50.0,107.28571428571429,0.7142857142857143,454.6788990825688,98.19266055045871,0.926605504587156,True,female,23,FALSE,HighSchool
113,119,98.65546218487395,13.522383812756171,669.3781512605042,0.8907563025210085,98.77358490566037,702.0283018867924,97.6923076923077,403.15384615384613,595.0,96.0,False,579.6153846153846,-15.384615384615358,99.6923076923077,0.6153846153846154,557.625,-21.99038461538464,94.625,0.75,514.6666666666666,-42.95833333333337,92.33333333333333,0.5,598.6666666666666,84.0,97.66666666666667,0.6666666666666666,816.5,217.83333333333337,108.0,1.0,850.0,33.5,92.5,1.0,832.5,-17.5,117.0,1.0,760.5,-72.0,91.5,0.5,708.0,-52.5,86.0,1.0,681.2,98.55238095238096,0.9333333333333333,True,female,42,FALSE,BA
74,108,98.88888888888889,23.943209028177034,600.9814814814815,0.9907407407407407,99.19626168224299,603.7383177570093,66.0,306.0,306.0,66.0,False,759.0,453.0,103.0,1.0,828.0,69.0,92.0,1.0,665.0,-163.0,88.0,1.0,,,,,660.0,,122.0,1.0,483.0,-177.0,149.0,1.0,559.0,76.0,106.0,1.0,703.0,144.0,95.0,1.0,749.0,46.0,91.0,1.0,596.4056603773585,99.22641509433963,0.9905660377358491,True,female,48,FALSE,BA
60,118,103.44915254237289,20.241109669264635,574.5508474576271,0.9915254237288136,103.52991452991454,576.1452991452992,94.0,388.0,,,,262.0,,94.0,1.0,715.5,453.5,93.5,1.0,632.5,-83.0,79.0,1.0,588.0,-44.5,97.0,1.0,629.5,41.5,85.0,1.0,537.0,-92.5,106.0,1.0,628.5,91.5,100.0,1.0,518.5,-110.0,97.0,1.0,595.5,77.0,93.0,1.0,579.9396551724138,103.61206896551724,0.9913793103448276,True,female,34,TRUE,BA
67,81,108.03703703703704,15.845696927276853,465.61728395061726,0.9629629629629629,109.03846153846153,463.46153846153845,82.0,521.6666666666666,876.0,113.0,False,704.6666666666666,-171.33333333333337,99.33333333333333,1.0,417.0,-287.66666666666663,103.0,1.0,381.0,-36.0,106.0,1.0,575.5,194.5,118.0,1.0,584.5,9.0,99.0,1.0,391.3333333333333,-193.16666666666669,113.66666666666667,1.0,454.0,62.666666666666686,117.5,1.0,376.0,-78.0,94.0,1.0,437.0,61.0,105.0,1.0,456.97402597402595,108.33766233766234,0.961038961038961,True,female,34,FALSE,BA
71,103,120.84466019417475,16.29733364547795,598.6310679611651,0.9805825242718447,121.02970297029702,600.0990099009902,111.5,524.5,433.0,90.0,False,516.0,83.0,112.0,1.0,695.0,179.0,119.5,1.0,588.0,-107.0,137.0,1.0,626.0,38.0,128.0,1.0,627.5,1.5,116.0,1.0,598.0,-29.5,134.5,1.0,577.5,-20.5,124.0,1.0,650.0,72.5,127.0,1.0,707.0,57.0,137.0,1.0,596.1584158415842,120.89108910891089,0.9801980198019802,True,female,42,FALSE,MA
137,119,122.09243697478992,18.291422272655215,460.84033613445376,0.9411764705882353,122.99107142857143,461.4642857142857,107.71428571428571,450.85714285714283,502.0,96.0,False,544.0,42.0,117.85714285714286,0.8571428571428571,527.1666666666666,-16.83333333333337,116.33333333333333,0.8333333333333334,593.8,66.63333333333333,131.6,1.0,506.4,-87.39999999999998,124.0,1.0,554.6,48.200000000000045,127.0,0.8,507.25,-47.35000000000002,125.75,1.0,466.25,-41.0,137.25,1.0,528.25,62.0,129.25,1.0,546.25,18.0,121.0,0.75,455.22522522522524,122.5945945945946,0.954954954954955,True,male,37,FALSE,BA
34,66,125.1969696969697,73.328390912067,774.7121212121212,0.5151515151515151,125.05882352941177,814.0882352941177,125.34375,732.875,,,,742.5277777777778,,112.97222222222223,0.6111111111111112,803.952380952381,61.424603174603135,137.38095238095238,0.47619047619047616,802.2857142857143,-1.6666666666666288,150.71428571428572,0.2857142857142857,950.5,148.21428571428567,128.0,0.0,,,,,,,,,,,,,,,,,,,,,813.3333333333334,139.86666666666667,0.4,True,male,31,TRUE,BA
18,116,125.24137931034483,19.937999851563834,633.9224137931035,0.9051724137931034,125.35238095238095,645.3619047619047,124.18181818181819,524.7272727272727,570.0,112.0,False,585.6666666666666,15.666666666666629,120.41666666666667,0.75,622.8888888888889,37.222222222222285,119.0,0.8888888888888888,677.8571428571429,54.968253968253975,124.14285714285714,0.7142857142857143,613.5,-64.35714285714289,105.33333333333333,0.8333333333333334,757.0,143.5,135.8,1.0,471.0,-286.0,120.5,0.75,692.75,221.75,105.5,0.75,615.3333333333334,-77.41666666666663,137.0,1.0,97.66666666666667,-517.6666666666667,130.33333333333334,1.0,640.1650485436893,125.93203883495146,0.9320388349514563,True,female,54,FALSE,MA
110,109,125.97247706422019,38.63060068841903,565.394495412844,0.926605504587156,128.04950495049505,572.0693069306931,99.75,481.125,359.0,54.0,False,545.3333333333334,186.33333333333337,98.83333333333333,0.6666666666666666,472.1666666666667,-73.16666666666669,115.16666666666667,1.0,592.4,120.23333333333329,143.0,1.0,653.0,60.60000000000002,103.0,1.0,596.4,-56.60000000000002,124.0,1.0,609.5,13.100000000000023,115.75,1.0,449.25,-160.25,115.75,0.75,746.25,297.0,135.0,1.0,695.75,-50.5,103.0,1.0,568.5980392156863,128.27450980392157,0.9509803921568627,True,female,54,FALSE,HighSchool
139,119,128.27731092436974,31.74472447022721,487.8151260504202,0.9159663865546218,130.8440366972477,499.9357798165138,100.3,355.7,459.0,59.0,False,546.9,87.89999999999998,103.8,0.6,628.6666666666666,81.76666666666665,114.66666666666667,1.0,391.6666666666667,-236.99999999999994,116.0,0.8333333333333334,388.8,-2.8666666666666742,133.2,0.8,548.25,159.45,108.0,1.0,746.0,197.75,128.25,0.75,469.3333333333333,-276.6666666666667,100.33333333333333,1.0,664.6666666666666,195.33333333333331,114.66666666666667,1.0,426.3333333333333,-238.33333333333331,132.66666666666666,1.0,482.6111111111111,131.1851851851852,0.9537037037037037,True,male,39,FALSE,MA
141,119,128.27731092436974,31.74472447022721,487.8151260504202,0.9159663865546218,130.8440366972477,499.9357798165138,100.3,355.7,459.0,59.0,False,546.9,87.89999999999998,103.8,0.6,628.6666666666666,81.76666666666665,114.66666666666667,1.0,391.6666666666667,-236.99999999999994,116.0,0.8333333333333334,388.8,-2.8666666666666742,133.2,0.8,548.25,159.45,108.0,1.0,746.0,197.75,128.25,0.75,469.3333333333333,-276.6666666666667,100.33333333333333,1.0,664.6666666666666,195.33333333333331,114.66666666666667,1.0,426.3333333333333,-238.33333333333331,132.66666666666666,1.0,482.6111111111111,131.1851851851852,0.9537037037037037,True,male,39,FALSE,MA
56,101,135.23762376237624,32.072464362705745,493.5742574257426,0.6039603960396039,143.34426229508196,546.1147540983607,122.875,413.45,557.0,107.0,False,469.53846153846155,-87.46153846153845,133.53846153846155,0.5641025641025641,472.40909090909093,2.8706293706293877,135.3181818181818,0.7727272727272727,439.3125,-33.096590909090935,141.1875,0.4375,538.1428571428571,98.83035714285711,133.28571428571428,0.8571428571428571,609.0,70.85714285714289,142.75,0.75,585.5,-23.5,134.5,0.3333333333333333,811.5,226.0,158.5,1.0,471.5,-340.0,128.5,0.0,,,,,504.9836065573771,136.55737704918033,0.6229508196721312,True,male,59,FALSE,BA
